,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity,ProbEggs
54,54,Corn,4,534706.3123,534706.3123,0.074807421,-2.592838193,-1.12605532,0.002
55,55,Soybeans,4,164373.6472,164373.6472,0.24334801,-1.413262719,-0.6137722,0.002
56,56,Soybeans,4,464746.7719,464746.7719,0.086068376,-2.452613227,-1.065156391,0.002
57,57,Grass/Pasture,250,117807.509,117807.509,21.22105816,3.054993998,1.326767036,0.075
58,58,Grass/Pasture,30,8992.903697,8992.903697,33.35963668,3.507346686,1.523221312,0.075
59,59,Corn,0,27879.89655,27879.89655,0,#NAME?,#NAME?,0.002
60,60,Soybeans,14,578787.6468,578787.6468,0.241884914,-1.419293229,-0.616391218,0.002
61,61,Soybeans,6,559827.9719,559827.9719,0.107175781,-2.233284981,-0.969903344,0.002
62,62,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,31265.10105,31265.10105,0.63969088,-0.44677022,-0.194029841,0.002
63,63,Soybeans,2,94276.85503,94276.85503,0.212141145,-1.550503446,-0.673375091,0.002
64,64,Soybeans,0,31613.85289,31613.85289,0,#NAME?,#NAME?,0.002
65,65,Blank_/Developed/Med Intensity/Developed/High Intensity,0,11691.27792,11691.27792,0,#NAME?,#NAME?,0
66,66,Corn,0,89031.07045,89031.07045,0,#NAME?,#NAME?,0.002
67,67,Developed/Open Space/Developed/Low Intensity,4,10046.81411,10046.81411,3.98136161,1.381623874,0.600031624,0.01
68,68,Developed/Open Space/Developed/Low Intensity,0,8418.651817,8418.651817,0,#NAME?,#NAME?,0.01
69,69,Developed/Open Space/Developed/Low Intensity,10,15386.76981,15386.76981,6.499089883,1.871662149,0.812852543,0.01
70,70,Soybeans,0,224823.7807,224823.7807,0,#NAME?,#NAME?,0.002
71,71,Soybeans,10,37627.48943,37627.48943,2.657631469,0.977435301,0.424494758,0.002
72,72,Corn,2,116090.3319,116090.3319,0.172279635,-1.758636338,-0.763766057,0.002
73,73,Grass/Pasture,86,37770.38667,37770.38667,22.7691606,3.125407015,1.35734702,0.075
74,74,Soybeans,8,758554.6022,758554.6022,0.105463733,-2.249388149,-0.976896861,0.002
75,75,Grass/Pasture,82,11690.95392,11690.95392,70.13969994,4.250488967,1.845963904,0.075
76,76,Corn,8,580045.6208,580045.6208,0.137920186,-1.981080122,-0.860372165,0.002
77,77,Corn,4,514137.3418,514137.3418,0.077800223,-2.553610978,-1.109019156,0.002
78,78,Grass/Pasture,150,31546.81258,31546.81258,47.54838531,3.861747831,1.677135773,0.075
79,79,Grass/Pasture,64,23381.56654,23381.56654,27.37198976,3.309520219,1.437306369,0.075
80,80,Grass/Pasture,80,29676.58654,29676.58654,26.95727822,3.294253325,1.430676041,0.075
81,81,Wetlands/Herbaceous Wetlands,2,8993.481945,8993.481945,2.223832785,0.799232187,0.347102129,0.02
82,82,Soybeans,0,535462.0462,535462.0462,0,#NAME?,#NAME?,0.002
83,83,Corn,0,55034.31177,55034.31177,0,#NAME?,#NAME?,0.002
84,84,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,44964.55495,44964.55495,0,#NAME?,#NAME?,0.005
85,85,Corn,0,134003.0258,134003.0258,0,#NAME?,#NAME?,0.002
86,86,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,35973.88635,35973.88635,0.555958837,-0.587061023,-0.254957363,0.002
87,87,Soybeans,8,338423.1737,338423.1737,0.236390431,-1.442270471,-0.626370107,0.002
88,88,Grass/Pasture,64,16187.20103,16187.20103,39.53740976,3.677247306,1.597008214,0.075
89,89,Grass/Pasture,242,49463.24191,49463.24191,48.92522015,3.890293013,1.689532789,0.075
90,90,Grass/Pasture,102,14389.27595,14389.27595,70.88612405,4.261074703,1.85056123,0.075
91,91,Grass/Pasture,208,44431.2213,44431.2213,46.81392812,3.846180768,1.670375084,0.075
92,92,Corn,6,1167098.771,1167098.771,0.051409531,-2.967931703,-1.288956361,0.002
93,93,Soybeans,8,33273.68281,33273.68281,2.404302537,0.877259856,0.380989115,0.002
94,94,Grass/Pasture,14,10791.79149,10791.79149,12.97282292,2.562856625,1.11303449,0.075
95,95,Developed/Open Space/Developed/Low Intensity,4,20565.28681,20565.28681,1.945025147,0.665274906,0.288925221,0.01
96,96,Grass/Pasture,3142,920429.1604,920429.1604,34.13625008,3.530359872,1.533215811,0.075
97,97,Soybeans,0,155304.1202,155304.1202,0,#NAME?,#NAME?,0.002
98,98,Developed/Open Space/Developed/Low Intensity,2,11454.95658,11454.95658,1.74596908,0.557309748,0.242036548,0.01
99,99,Developed/Open Space/Developed/Low Intensity,0,10816.08883,10816.08883,0,#NAME?,#NAME?,0.01
100,100,Developed/Open Space/Developed/Low Intensity,0,15150.97347,15150.97347,0,#NAME?,#NAME?,0.01
101,101,Grass/Pasture,152,17076.89689,17076.89689,89.0091455,4.488739123,1.949434632,0.075
102,102,Grass/Pasture,114,8524.73522,8524.73522,133.7284937,4.895811578,2.126223953,0.075
103,103,Soybeans,0,37889.17802,37889.17802,0,#NAME?,#NAME?,0.002
104,104,Grass/Pasture,76,11690.75284,11690.75284,65.0086449,4.17452026,1.812971113,0.075
105,105,Wetlands/Herbaceous Wetlands,8,13490.23825,13490.23825,5.93021402,1.780060303,0.773070367,0.02
106,106,Soybeans,6,250745.1086,250745.1086,0.239286821,-1.430092357,-0.621081219,0.002
107,107,Developed/Open Space/Developed/Low Intensity,0,16817.85519,16817.85519,0,#NAME?,#NAME?,0.01
108,108,Developed/Open Space/Developed/Low Intensity,0,9106.027472,9106.027472,0,#NAME?,#NAME?,0.01
109,109,Developed/Open Space/Developed/Low Intensity,6,18578.27571,18578.27571,3.229578511,1.172351637,0.509145847,0.01
110,110,Corn,20,1417130.541,1417130.541,0.141130259,-1.958071994,-0.850379862,0.002
111,111,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,24282.40269,24282.40269,0,#NAME?,#NAME?,0
112,112,Developed/Open Space/Developed/Low Intensity,4,23065.29604,23065.29604,1.734207093,0.550550302,0.239100958,0.01
113,113,Grass/Pasture,182,31984.22269,31984.22269,56.90305554,4.04134904,1.755135587,0.075
114,114,Soybeans,4,211656.8746,211656.8746,0.188985121,-1.666086993,-0.723572388,0.002
115,115,Soybeans,6,441069.6725,441069.6725,0.13603293,-1.994858288,-0.866355947,0.002
116,116,Soybeans,0,128598.5581,128598.5581,0,#NAME?,#NAME?,0.002
117,117,Soybeans,6,131944.3817,131944.3817,0.454737058,-0.788035921,-0.342239652,0.002
118,118,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,17986.4101,17986.4101,0,#NAME?,#NAME?,0.002
119,119,Grass/Pasture,16,8993.199119,8993.199119,17.79122178,2.878705177,1.250205773,0.075
120,120,Soybeans,20,180166.7087,180166.7087,1.110082997,0.104434785,0.045355451,0.002
121,121,Soybeans,2,454544.3879,454544.3879,0.044000103,-3.123563298,-1.356546304,0.002
122,122,Soybeans,4,576564.1108,576564.1108,0.0693765,-2.668207086,-1.158787614,0.002
123,123,Corn,6,211911.9286,211911.9286,0.283136492,-1.261826195,-0.548004154,0.002
124,124,Soybeans,0,130197.8777,130197.8777,0,#NAME?,#NAME?,0.002
125,125,Corn,0,11517.5277,11517.5277,0,#NAME?,#NAME?,0.002
126,126,Corn,14,1197965.535,1197965.535,0.116864798,-2.146737587,-0.932316288,0.002
127,127,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,11690.75784,11690.75784,1.710753082,0.536933672,0.233187331,0.005
128,128,Grass/Pasture,126,17086.50818,17086.50818,73.74239293,4.300577843,1.867717226,0.075
129,129,Corn,18,1703221.49,1703221.49,0.105682086,-2.24731988,-0.975998623,0.002
130,130,Grass/Pasture,644,248310.6201,248310.6201,25.93525801,3.255603356,1.413890573,0.075
131,131,Grass/Pasture,1186,137121.2475,137121.2475,86.49279536,4.46006112,1.936979933,0.075
132,132,Soybeans,14,539611.9149,539611.9149,0.259445717,-1.349207782,-0.585953495,0.002
133,133,Grass/Pasture,94,16930.04054,16930.04054,55.52260774,4.016790285,1.744469856,0.075
134,134,Grass/Pasture,56,15822.33619,15822.33619,35.39300349,3.566514159,1.548917419,0.075
135,135,Grass/Pasture,30,10048.03706,10048.03706,29.85657778,3.396405177,1.475040027,0.075
136,136,Soybeans,0,291690.0215,291690.0215,0,#NAME?,#NAME?,0.002
137,137,Grass/Pasture,258,63849.52613,63849.52613,40.40750427,3.699015517,1.606462028,0.075
138,138,Soybeans,6,870148.4638,870148.4638,0.06895375,-2.674319283,-1.161442107,0.002
139,139,Grass/Pasture,242,67746.55446,67746.55446,35.72137387,3.575749217,1.552928154,0.075
140,140,Corn,8,570493.6612,570493.6612,0.140229428,-1.964475424,-0.853160836,0.002
141,141,Corn,2,279588.6881,279588.6881,0.071533652,-2.637587279,-1.145489601,0.002
142,142,Corn,20,368996.5946,368996.5946,0.542010422,-0.612470049,-0.265992362,0.002
143,143,Soybeans,14,894167.1065,894167.1065,0.156570286,-1.854250255,-0.805290654,0.002
144,144,Soybeans,6,104867.0321,104867.032,0.572153124,-0.558348624,-0.242487726,0.002
145,145,Corn,2,11826.33534,11826.33534,1.691140952,0.52540342,0.228179806,0.002
146,146,Grass/Pasture,318,50382.58676,50382.58676,63.11704508,4.144990861,1.800146659,0.075
147,147,Corn,10,454953.8337,454953.8337,0.219802522,-1.515025763,-0.657967329,0.002
148,148,Grass/Pasture,194,33275.2632,33275.2632,58.30156739,4.065628978,1.765680231,0.075
149,149,Corn,0,10039.4779,10039.4779,0,#NAME?,#NAME?,0.002
150,150,Blank_/Developed/Med Intensity/Developed/High Intensity,0,20535.76552,20535.76552,0,#NAME?,#NAME?,0
151,151,Developed/Open Space/Developed/Low Intensity,2,14494.75605,14494.75605,1.379809355,0.321945341,0.139819085,0.01
152,152,Grass/Pasture,170,20285.03101,20285.03101,83.80563969,4.428500305,1.923273245,0.075
153,153,Soybeans,0,17985.78313,17985.78313,0,#NAME?,#NAME?,0.002
154,154,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,27479.27903,27479.27903,0.727821133,-0.317699957,-0.137975338,0.005
155,155,Grass/Pasture,84,9282.470276,9282.470276,90.49315269,4.505274187,1.956615719,0.075
156,156,Corn,0,160781.1522,160781.1522,0,#NAME?,#NAME?,0.002
157,157,Developed/Open Space/Developed/Low Intensity,6,17002.50925,17002.50925,3.52889089,1.260983626,0.547638231,0.01
158,158,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,16,248732.2484,248732.2484,0.643261986,-0.441203195,-0.191612113,0.002
159,159,Soybeans,10,1176963.571,1176963.571,0.084964397,-2.46552297,-1.070763021,0.002
160,160,Corn,4,35038.56273,35038.56273,1.141599338,0.132430207,0.057513708,0.002
161,161,Corn,0,34240.34777,34240.34777,0,#NAME?,#NAME?,0.002
162,162,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,14684.58793,14684.58793,1.361972164,0.30893377,0.134168232,0.002
163,163,Soybeans,6,134581.8098,134581.8098,0.44582548,-0.807827703,-0.350835114,0.002
164,164,Grass/Pasture,142,17156.1861,17156.1861,82.76897859,4.416053336,1.917867596,0.075
165,165,Grass/Pasture,178,10128.78736,10128.78736,175.736733,5.16898704,2.244862548,0.075
166,166,Grass/Pasture,164,21700.5448,21700.5448,75.5741395,4.325114155,1.878373211,0.075
167,167,Corn,2,19829.57627,19829.57627,1.008594421,0.008557699,0.003716562,0.002
168,168,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,6,31063.65001,31063.65001,1.931518028,0.658306237,0.285898766,0.002
169,169,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,12590.84038,12590.84038,1.588456322,0.462762678,0.200975277,0.005
170,170,Corn,6,1281707.314,1281707.314,0.04681256,-3.061603745,-1.329637612,0.002
171,171,Grass/Pasture,120,14994.6661,14994.6661,80.02845759,4.382382291,1.903244447,0.075
172,172,Corn,2,573384.1923,573384.1923,0.034880627,-3.355823711,-1.45741572,0.002
173,173,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,10791.78442,10791.78442,1.853261631,0.616947131,0.267936735,0.002
174,174,Soybeans,2,273658.1012,273658.1012,0.073083895,-2.616147248,-1.136178314,0.002
175,175,Soybeans,2,576017.7389,576017.7389,0.034721153,-3.360406183,-1.459405862,0.002
176,176,Developed/Open Space/Developed/Low Intensity,2,9204.093728,9204.093728,2.172946147,0.776083918,0.337048963,0.01
177,177,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,25048.6412,25048.6412,0.798446504,-0.225087309,-0.097754176,0.005
178,178,Soybeans,2,462249.9336,462249.9336,0.043266637,-3.140373453,-1.363846862,0.002
179,179,Grass/Pasture,26,8993.383092,8993.383092,28.91014397,3.364192536,1.461050254,0.075
180,180,Corn,6,1062409.896,1062409.896,0.056475378,-2.873950531,-1.248140857,0.002
181,181,Developed/Open Space/Developed/Low Intensity,18,26442.39902,26442.39902,6.807249216,1.917988106,0.832971651,0.01
182,182,Developed/Open Space/Developed/Low Intensity,2,11885.34027,11885.34027,1.68274526,0.520426543,0.226018376,0.01
183,183,Wetlands/Herbaceous Wetlands,22,19785.61334,19785.61334,11.1191903,2.408672472,1.046073163,0.02
184,184,Soybeans,14,1612283.236,1612283.236,0.086833378,-2.44376419,-1.061313303,0.002
185,185,Developed/Open Space/Developed/Low Intensity,4,20106.2128,20106.2128,1.989434828,0.687850592,0.298729717,0.01
186,186,Soybeans,4,146327.0966,146327.0966,0.27336017,-1.296965049,-0.563264764,0.002
187,187,Soybeans,0,212528.476,212528.476,0,#NAME?,#NAME?,0.002
188,188,Grass/Pasture,40,12590.08827,12590.08827,31.77102427,3.458554688,1.502031216,0.075
189,189,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,11375.51027,11375.51027,1.758162889,0.564269451,0.245059109,0.005
190,190,Grass/Pasture,234,37707.09858,37707.09858,62.05728067,4.12805784,1.792792741,0.075
191,191,Soybeans,4,142180.9224,142180.9224,0.281331696,-1.268220894,-0.550781336,0.002
192,192,Soybeans,0,26935.79189,26935.79189,0,#NAME?,#NAME?,0.002
193,193,Corn,2,545934.0499,545934.0499,0.036634462,-3.306765907,-1.436110186,0.002
194,194,Corn,4,492877.6318,492877.6318,0.081156046,-2.511381478,-1.090679118,0.002
195,195,Corn,26,2262132.466,2262132.466,0.114935798,-2.163381585,-0.939544685,0.002
196,196,Grass/Pasture,54,18885.98703,18885.98703,28.59262792,3.353148919,1.456254073,0.075
197,197,Soybeans,0,8993.287575,8993.287575,0,#NAME?,#NAME?,0.002
198,198,Soybeans,4,148605.4456,148605.4456,0.26916914,-1.312415324,-0.569974733,0.002
199,199,Corn,6,744105.7841,744105.7841,0.080633697,-2.517838645,-1.09348343,0.002
200,200,Grass/Pasture,94,27878.05827,27878.05827,33.71827374,3.518039938,1.527865332,0.075
201,201,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,10,38671.87809,38671.87809,2.585858379,0.950057514,0.412604736,0.005
202,202,Soybeans,8,822946.2429,822946.2429,0.097211696,-2.330864245,-1.01228148,0.002
203,203,Developed/Open Space/Developed/Low Intensity,2,9398.129949,9398.129949,2.128082939,0.755221546,0.32798855,0.01
204,204,Developed/Open Space/Developed/Low Intensity,4,8549.750353,8549.750353,4.678499178,1.54297737,0.670106558,0.01
205,205,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,10791.9456,10791.9456,0,#NAME?,#NAME?,0.002
206,206,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,11691.28715,11691.28715,0,#NAME?,#NAME?,0.005
207,207,Grass/Pasture,664,207030.5739,207030.5739,32.07255757,3.46800076,1.506133593,0.075
208,208,Soybeans,4,285325.4586,285325.4586,0.140190785,-1.964751035,-0.853280533,0.002
209,209,Developed/Open Space/Developed/Low Intensity,0,25610.85679,25610.85679,0,#NAME?,#NAME?,0.01
210,210,Soybeans,12,663959.2483,663959.2483,0.180733984,-1.710729032,-0.742960179,0.002
211,211,Corn,4,73289.33299,73289.33299,0.545782017,-0.605535619,-0.262980778,0.002
212,212,Grass/Pasture,1788,897097.4564,897097.4564,19.93094493,2.992273546,1.299527889,0.075
213,213,Corn,0,68865.57427,68865.57427,0,#NAME?,#NAME?,0.002
214,214,Corn,8,132446.9062,132446.9062,0.604015619,-0.504155223,-0.218951831,0.002
215,215,Grass/Pasture,54,19784.511,19784.511,27.29407869,3.306669781,1.436068439,0.075
216,216,Soybeans,10,1577405.756,1577405.756,0.06339523,-2.758366664,-1.197943421,0.002
217,217,Corn,2,121369.8316,121369.8316,0.164785596,-1.80311007,-0.783080754,0.002
218,218,Grass/Pasture,30,9892.204208,9892.204208,30.32691134,3.412035481,1.481828182,0.075
219,219,Grass/Pasture,62,12590.09881,12590.09881,49.24504639,3.896808782,1.692362551,0.075
220,220,Corn,0,151814.012,151814.012,0,#NAME?,#NAME?,0.002
221,221,Soybeans,8,282319.7031,282319.7031,0.283366691,-1.261013493,-0.547651202,0.002
222,222,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,9892.6158,9892.6158,0,#NAME?,#NAME?,0
223,223,Grass/Pasture,158,12765.19019,12765.19019,123.7741057,4.818458176,2.092629797,0.075
224,224,Corn,10,746014.5702,746014.5702,0.134045639,-2.009574945,-0.87274731,0.002
225,225,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,11012.80572,11012.80572,0,#NAME?,#NAME?,0.002
226,226,Grass/Pasture,160,55756.26049,55756.26049,28.69632909,3.356769208,1.457826344,0.075
227,227,Soybeans,0,18886.13729,18886.13729,0,#NAME?,#NAME?,0.002
228,228,Grass/Pasture,326,35973.5855,35973.5855,90.62204822,4.506697541,1.957233874,0.075
229,229,Blank_/Developed/Med Intensity/Developed/High Intensity,0,9037.963655,9037.963655,0,#NAME?,#NAME?,0
230,230,Soybeans,6,449561.0619,449561.0619,0.133463516,-2.013927127,-0.874637438,0.002
231,231,Soybeans,4,1414377.162,1414377.162,0.028281,-3.565565091,-1.548505244,0.002
232,232,Grass/Pasture,110,26979.47436,26979.47436,40.77173578,3.707989091,1.610359201,0.075
233,233,Corn,0,565358.5147,565358.5147,0,#NAME?,#NAME?,0.002
234,234,Corn,8,281739.5647,281739.5647,0.28395018,-1.25895648,-0.546757852,0.002
235,235,Developed/Open Space/Developed/Low Intensity,2,20356.21016,20356.21016,0.982501155,-0.017653759,-0.00766693,0.01
236,236,Developed/Open Space/Developed/Low Intensity,14,29492.31077,29492.31077,4.747000026,1.557512845,0.676419234,0.01
237,237,Developed/Open Space/Developed/Low Intensity,2,10205.218,10205.218,1.959781751,0.672833115,0.292207709,0.01
238,238,Developed/Open Space/Developed/Low Intensity,6,16043.15876,16043.15876,3.739911878,1.319062049,0.572861369,0.01
239,239,Grass/Pasture,172,38652.02153,38652.02153,44.49961301,3.795480493,1.648356234,0.075
240,240,Corn,2,69281.39313,69281.39313,0.288677798,-1.242444099,-0.539586616,0.002
241,241,Developed/Open Space/Developed/Low Intensity,12,13682.92655,13682.92655,8.770053655,2.171342924,0.94300225,0.01
242,242,Developed/Open Space/Developed/Low Intensity,20,13730.94933,13730.94933,14.56563528,2.678665006,1.163329431,0.01
243,243,Grass/Pasture,106,19785.61531,19785.61531,53.57427522,3.981069013,1.728956304,0.075
244,244,Developed/Open Space/Developed/Low Intensity,2,10791.95054,10791.95054,1.853233104,0.616931738,0.267930049,0.01
245,245,Soybeans,4,293456.3459,293456.3459,0.136306475,-1.992849438,-0.865483514,0.002
246,246,Soybeans,0,82199.70799,82199.70799,0,#NAME?,#NAME?,0.002
247,247,Developed/Open Space/Developed/Low Intensity,0,9892.284724,9892.284724,0,#NAME?,#NAME?,0.01
248,248,Corn,16,619562.727,619562.727,0.258246652,-1.353840135,-0.5879653,0.002
