FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity
35,36,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,8,95352.90847,95352.90847,0.838988567,-0.1755582,-0.076243958
36,37,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,9892.511841,9892.511841,0,#NAME?,#NAME?
37,38,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,9892.524737,9892.524737,0,#NAME?,#NAME?
38,39,Soybeans,0,24280.93267,24280.93267,0,#NAME?,#NAME?
39,40,Developed/Open Space/Developed/Low Intensity,0,30399.19112,30399.19112,0,#NAME?,#NAME?
40,41,Developed/Open Space/Developed/Low Intensity,0,17336.61414,17336.61414,0,#NAME?,#NAME?
41,42,Soybeans,4,135792.6903,135792.6903,0.294566666,-1.222249933,-0.530816401
42,43,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,4,27663.12597,27663.12597,1.445968183,0.36877912,0.160158737
43,44,Grass/Pasture,242,31527.28264,31527.28264,76.75891474,4.340669533,1.885128826
44,45,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,4,20684.0742,20684.0742,1.933854985,0.659515412,0.286423904
45,46,Corn,4,523081.1406,523081.1406,0.076469972,-2.570857142,-1.116509071
46,47,Grass/Pasture,238,61714.75495,61714.75495,38.5645216,3.652332724,1.586187948
47,48,Grass/Pasture,154,23044.72874,23044.72874,66.82656226,4.20210064,1.82494912
48,49,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,4,12590.05081,12590.05081,3.17711188,1.15597257,0.502032509
49,50,Corn,24,148621.8025,148621.8025,1.614837096,0.479234082,0.208128718
50,51,Grass/Pasture,292,75351.39344,75351.39344,38.75177175,3.657176477,1.588291564
51,52,Corn,2,112879.1338,112879.1338,0.177180665,-1.73058536,-0.751583672
52,53,Grass/Pasture,166,28444.27881,28444.27881,58.35971483,4.066625837,1.766113161
53,54,Corn,4,534706.3123,534706.3123,0.074807421,-2.592838193,-1.12605532
54,55,Soybeans,4,164373.6472,164373.6472,0.24334801,-1.413262719,-0.6137722
55,56,Soybeans,4,464746.7719,464746.7719,0.086068376,-2.452613227,-1.065156391
56,57,Grass/Pasture,250,117807.509,117807.509,21.22105816,3.054993998,1.326767036
57,58,Grass/Pasture,30,8992.903697,8992.903697,33.35963668,3.507346686,1.523221312
58,59,Corn,0,27879.89655,27879.89655,0,#NAME?,#NAME?
59,60,Soybeans,14,578787.6468,578787.6468,0.241884914,-1.419293229,-0.616391218
60,61,Soybeans,6,559827.9719,559827.9719,0.107175781,-2.233284981,-0.969903344
61,62,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,31265.10105,31265.10105,0.63969088,-0.44677022,-0.194029841
62,63,Soybeans,2,94276.85503,94276.85503,0.212141145,-1.550503446,-0.673375091
63,64,Soybeans,0,31613.85289,31613.85289,0,#NAME?,#NAME?
64,65,Blank_/Developed/Med Intensity/Developed/High Intensity,0,11691.27792,11691.27792,0,#NAME?,#NAME?
65,66,Corn,0,89031.07045,89031.07045,0,#NAME?,#NAME?
66,67,Developed/Open Space/Developed/Low Intensity,4,10046.81411,10046.81411,3.98136161,1.381623874,0.600031624
67,68,Developed/Open Space/Developed/Low Intensity,0,8418.651817,8418.651817,0,#NAME?,#NAME?
68,69,Developed/Open Space/Developed/Low Intensity,10,15386.76981,15386.76981,6.499089883,1.871662149,0.812852543
69,70,Soybeans,0,224823.7807,224823.7807,0,#NAME?,#NAME?
70,71,Soybeans,10,37627.48943,37627.48943,2.657631469,0.977435301,0.424494758
71,72,Corn,2,116090.3319,116090.3319,0.172279635,-1.758636338,-0.763766057
72,73,Grass/Pasture,86,37770.38667,37770.38667,22.7691606,3.125407015,1.35734702
73,74,Soybeans,8,758554.6022,758554.6022,0.105463733,-2.249388149,-0.976896861
74,75,Grass/Pasture,82,11690.95392,11690.95392,70.13969994,4.250488967,1.845963904
75,76,Corn,8,580045.6208,580045.6208,0.137920186,-1.981080122,-0.860372165
76,77,Corn,4,514137.3418,514137.3418,0.077800223,-2.553610978,-1.109019156
77,78,Grass/Pasture,150,31546.81258,31546.81258,47.54838531,3.861747831,1.677135773
78,79,Grass/Pasture,64,23381.56654,23381.56654,27.37198976,3.309520219,1.437306369
79,80,Grass/Pasture,80,29676.58654,29676.58654,26.95727822,3.294253325,1.430676041
80,81,Wetlands/Herbaceous Wetlands,2,8993.481945,8993.481945,2.223832785,0.799232187,0.347102129
81,82,Soybeans,0,535462.0462,535462.0462,0,#NAME?,#NAME?
82,83,Corn,0,55034.31177,55034.31177,0,#NAME?,#NAME?
83,84,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,44964.55495,44964.55495,0,#NAME?,#NAME?
84,85,Corn,0,134003.0258,134003.0258,0,#NAME?,#NAME?
85,86,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,35973.88635,35973.88635,0.555958837,-0.587061023,-0.254957363
86,87,Soybeans,8,338423.1737,338423.1737,0.236390431,-1.442270471,-0.626370107
87,88,Grass/Pasture,64,16187.20103,16187.20103,39.53740976,3.677247306,1.597008214
88,89,Grass/Pasture,242,49463.24191,49463.24191,48.92522015,3.890293013,1.689532789
89,90,Grass/Pasture,102,14389.27595,14389.27595,70.88612405,4.261074703,1.85056123
90,91,Grass/Pasture,208,44431.2213,44431.2213,46.81392812,3.846180768,1.670375084
91,92,Corn,6,1167098.771,1167098.771,0.051409531,-2.967931703,-1.288956361
92,93,Soybeans,8,33273.68281,33273.68281,2.404302537,0.877259856,0.380989115
93,94,Grass/Pasture,14,10791.79149,10791.79149,12.97282292,2.562856625,1.11303449
94,95,Developed/Open Space/Developed/Low Intensity,4,20565.28681,20565.28681,1.945025147,0.665274906,0.288925221
95,96,Grass/Pasture,3142,920429.1604,920429.1604,34.13625008,3.530359872,1.533215811
96,97,Soybeans,0,155304.1202,155304.1202,0,#NAME?,#NAME?
97,98,Developed/Open Space/Developed/Low Intensity,2,11454.95658,11454.95658,1.74596908,0.557309748,0.242036548
98,99,Developed/Open Space/Developed/Low Intensity,0,10816.08883,10816.08883,0,#NAME?,#NAME?
99,100,Developed/Open Space/Developed/Low Intensity,0,15150.97347,15150.97347,0,#NAME?,#NAME?
100,101,Grass/Pasture,152,17076.89689,17076.89689,89.0091455,4.488739123,1.949434632
101,102,Grass/Pasture,114,8524.73522,8524.73522,133.7284937,4.895811578,2.126223953
102,103,Soybeans,0,37889.17802,37889.17802,0,#NAME?,#NAME?
103,104,Grass/Pasture,76,11690.75284,11690.75284,65.0086449,4.17452026,1.812971113
104,105,Wetlands/Herbaceous Wetlands,8,13490.23825,13490.23825,5.93021402,1.780060303,0.773070367
105,106,Soybeans,6,250745.1086,250745.1086,0.239286821,-1.430092357,-0.621081219
106,107,Developed/Open Space/Developed/Low Intensity,0,16817.85519,16817.85519,0,#NAME?,#NAME?
107,108,Developed/Open Space/Developed/Low Intensity,0,9106.027472,9106.027472,0,#NAME?,#NAME?
108,109,Developed/Open Space/Developed/Low Intensity,6,18578.27571,18578.27571,3.229578511,1.172351637,0.509145847
109,110,Corn,20,1417130.541,1417130.541,0.141130259,-1.958071994,-0.850379862
110,111,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,24282.40269,24282.40269,0,#NAME?,#NAME?
111,112,Developed/Open Space/Developed/Low Intensity,4,23065.29604,23065.29604,1.734207093,0.550550302,0.239100958
112,113,Grass/Pasture,182,31984.22269,31984.22269,56.90305554,4.04134904,1.755135587
113,114,Soybeans,4,211656.8746,211656.8746,0.188985121,-1.666086993,-0.723572388
114,115,Soybeans,6,441069.6725,441069.6725,0.13603293,-1.994858288,-0.866355947
115,116,Soybeans,0,128598.5581,128598.5581,0,#NAME?,#NAME?
116,117,Soybeans,6,131944.3817,131944.3817,0.454737058,-0.788035921,-0.342239652
117,118,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,17986.4101,17986.4101,0,#NAME?,#NAME?
118,119,Grass/Pasture,16,8993.199119,8993.199119,17.79122178,2.878705177,1.250205773
119,120,Soybeans,20,180166.7087,180166.7087,1.110082997,0.104434785,0.045355451
120,121,Soybeans,2,454544.3879,454544.3879,0.044000103,-3.123563298,-1.356546304
121,122,Soybeans,4,576564.1108,576564.1108,0.0693765,-2.668207086,-1.158787614
122,123,Corn,6,211911.9286,211911.9286,0.283136492,-1.261826195,-0.548004154
123,124,Soybeans,0,130197.8777,130197.8777,0,#NAME?,#NAME?
124,125,Corn,0,11517.5277,11517.5277,0,#NAME?,#NAME?
125,126,Corn,14,1197965.535,1197965.535,0.116864798,-2.146737587,-0.932316288
126,127,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,11690.75784,11690.75784,1.710753082,0.536933672,0.233187331
127,128,Grass/Pasture,126,17086.50818,17086.50818,73.74239293,4.300577843,1.867717226
128,129,Corn,18,1703221.49,1703221.49,0.105682086,-2.24731988,-0.975998623
129,130,Grass/Pasture,644,248310.6201,248310.6201,25.93525801,3.255603356,1.413890573
130,131,Grass/Pasture,1186,137121.2475,137121.2475,86.49279536,4.46006112,1.936979933
131,132,Soybeans,14,539611.9149,539611.9149,0.259445717,-1.349207782,-0.585953495
132,133,Grass/Pasture,94,16930.04054,16930.04054,55.52260774,4.016790285,1.744469856
133,134,Grass/Pasture,56,15822.33619,15822.33619,35.39300349,3.566514159,1.548917419
134,135,Grass/Pasture,30,10048.03706,10048.03706,29.85657778,3.396405177,1.475040027
135,136,Soybeans,0,291690.0215,291690.0215,0,#NAME?,#NAME?
136,137,Grass/Pasture,258,63849.52613,63849.52613,40.40750427,3.699015517,1.606462028
137,138,Soybeans,6,870148.4638,870148.4638,0.06895375,-2.674319283,-1.161442107
138,139,Grass/Pasture,242,67746.55446,67746.55446,35.72137387,3.575749217,1.552928154
139,140,Corn,8,570493.6612,570493.6612,0.140229428,-1.964475424,-0.853160836
140,141,Corn,2,279588.6881,279588.6881,0.071533652,-2.637587279,-1.145489601
141,142,Corn,20,368996.5946,368996.5946,0.542010422,-0.612470049,-0.265992362
142,143,Soybeans,14,894167.1065,894167.1065,0.156570286,-1.854250255,-0.805290654
143,144,Soybeans,6,104867.0321,104867.032,0.572153124,-0.558348624,-0.242487726
144,145,Corn,2,11826.33534,11826.33534,1.691140952,0.52540342,0.228179806
145,146,Grass/Pasture,318,50382.58676,50382.58676,63.11704508,4.144990861,1.800146659
146,147,Corn,10,454953.8337,454953.8337,0.219802522,-1.515025763,-0.657967329
147,148,Grass/Pasture,194,33275.2632,33275.2632,58.30156739,4.065628978,1.765680231
148,149,Corn,0,10039.4779,10039.4779,0,#NAME?,#NAME?
149,150,Blank_/Developed/Med Intensity/Developed/High Intensity,0,20535.76552,20535.76552,0,#NAME?,#NAME?
150,151,Developed/Open Space/Developed/Low Intensity,2,14494.75605,14494.75605,1.379809355,0.321945341,0.139819085
151,152,Grass/Pasture,170,20285.03101,20285.03101,83.80563969,4.428500305,1.923273245
152,153,Soybeans,0,17985.78313,17985.78313,0,#NAME?,#NAME?
153,154,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,27479.27903,27479.27903,0.727821133,-0.317699957,-0.137975338
154,155,Grass/Pasture,84,9282.470276,9282.470276,90.49315269,4.505274187,1.956615719
155,156,Corn,0,160781.1522,160781.1522,0,#NAME?,#NAME?
156,157,Developed/Open Space/Developed/Low Intensity,6,17002.50925,17002.50925,3.52889089,1.260983626,0.547638231
157,158,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,16,248732.2484,248732.2484,0.643261986,-0.441203195,-0.191612113
158,159,Soybeans,10,1176963.571,1176963.571,0.084964397,-2.46552297,-1.070763021
159,160,Corn,4,35038.56273,35038.56273,1.141599338,0.132430207,0.057513708
160,161,Corn,0,34240.34777,34240.34777,0,#NAME?,#NAME?
161,162,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,14684.58793,14684.58793,1.361972164,0.30893377,0.134168232
162,163,Soybeans,6,134581.8098,134581.8098,0.44582548,-0.807827703,-0.350835114
163,164,Grass/Pasture,142,17156.1861,17156.1861,82.76897859,4.416053336,1.917867596
164,165,Grass/Pasture,178,10128.78736,10128.78736,175.736733,5.16898704,2.244862548
165,166,Grass/Pasture,164,21700.5448,21700.5448,75.5741395,4.325114155,1.878373211
166,167,Corn,2,19829.57627,19829.57627,1.008594421,0.008557699,0.003716562
167,168,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,6,31063.65001,31063.65001,1.931518028,0.658306237,0.285898766
168,169,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,12590.84038,12590.84038,1.588456322,0.462762678,0.200975277
169,170,Corn,6,1281707.314,1281707.314,0.04681256,-3.061603745,-1.329637612
170,171,Grass/Pasture,120,14994.6661,14994.6661,80.02845759,4.382382291,1.903244447
171,172,Corn,2,573384.1923,573384.1923,0.034880627,-3.355823711,-1.45741572
172,173,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,2,10791.78442,10791.78442,1.853261631,0.616947131,0.267936735
173,174,Soybeans,2,273658.1012,273658.1012,0.073083895,-2.616147248,-1.136178314
174,175,Soybeans,2,576017.7389,576017.7389,0.034721153,-3.360406183,-1.459405862
175,176,Developed/Open Space/Developed/Low Intensity,2,9204.093728,9204.093728,2.172946147,0.776083918,0.337048963
176,177,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,25048.6412,25048.6412,0.798446504,-0.225087309,-0.097754176
177,178,Soybeans,2,462249.9336,462249.9336,0.043266637,-3.140373453,-1.363846862
178,179,Grass/Pasture,26,8993.383092,8993.383092,28.91014397,3.364192536,1.461050254
179,180,Corn,6,1062409.896,1062409.896,0.056475378,-2.873950531,-1.248140857
180,181,Developed/Open Space/Developed/Low Intensity,18,26442.39902,26442.39902,6.807249216,1.917988106,0.832971651
181,182,Developed/Open Space/Developed/Low Intensity,2,11885.34027,11885.34027,1.68274526,0.520426543,0.226018376
182,183,Wetlands/Herbaceous Wetlands,22,19785.61334,19785.61334,11.1191903,2.408672472,1.046073163
183,184,Soybeans,14,1612283.236,1612283.236,0.086833378,-2.44376419,-1.061313303
184,185,Developed/Open Space/Developed/Low Intensity,4,20106.2128,20106.2128,1.989434828,0.687850592,0.298729717
185,186,Soybeans,4,146327.0966,146327.0966,0.27336017,-1.296965049,-0.563264764
186,187,Soybeans,0,212528.476,212528.476,0,#NAME?,#NAME?
187,188,Grass/Pasture,40,12590.08827,12590.08827,31.77102427,3.458554688,1.502031216
188,189,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,11375.51027,11375.51027,1.758162889,0.564269451,0.245059109
189,190,Grass/Pasture,234,37707.09858,37707.09858,62.05728067,4.12805784,1.792792741
190,191,Soybeans,4,142180.9224,142180.9224,0.281331696,-1.268220894,-0.550781336
191,192,Soybeans,0,26935.79189,26935.79189,0,#NAME?,#NAME?
192,193,Corn,2,545934.0499,545934.0499,0.036634462,-3.306765907,-1.436110186
193,194,Corn,4,492877.6318,492877.6318,0.081156046,-2.511381478,-1.090679118
194,195,Corn,26,2262132.466,2262132.466,0.114935798,-2.163381585,-0.939544685
195,196,Grass/Pasture,54,18885.98703,18885.98703,28.59262792,3.353148919,1.456254073
196,197,Soybeans,0,8993.287575,8993.287575,0,#NAME?,#NAME?
197,198,Soybeans,4,148605.4456,148605.4456,0.26916914,-1.312415324,-0.569974733
198,199,Corn,6,744105.7841,744105.7841,0.080633697,-2.517838645,-1.09348343
199,200,Grass/Pasture,94,27878.05827,27878.05827,33.71827374,3.518039938,1.527865332
200,201,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,10,38671.87809,38671.87809,2.585858379,0.950057514,0.412604736
201,202,Soybeans,8,822946.2429,822946.2429,0.097211696,-2.330864245,-1.01228148
202,203,Developed/Open Space/Developed/Low Intensity,2,9398.129949,9398.129949,2.128082939,0.755221546,0.32798855
203,204,Developed/Open Space/Developed/Low Intensity,4,8549.750353,8549.750353,4.678499178,1.54297737,0.670106558
204,205,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,10791.9456,10791.9456,0,#NAME?,#NAME?
205,206,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,11691.28715,11691.28715,0,#NAME?,#NAME?
206,207,Grass/Pasture,664,207030.5739,207030.5739,32.07255757,3.46800076,1.506133593
207,208,Soybeans,4,285325.4586,285325.4586,0.140190785,-1.964751035,-0.853280533
208,209,Developed/Open Space/Developed/Low Intensity,0,25610.85679,25610.85679,0,#NAME?,#NAME?
209,210,Soybeans,12,663959.2483,663959.2483,0.180733984,-1.710729032,-0.742960179
210,211,Corn,4,73289.33299,73289.33299,0.545782017,-0.605535619,-0.262980778
211,212,Grass/Pasture,1788,897097.4564,897097.4564,19.93094493,2.992273546,1.299527889
212,213,Corn,0,68865.57427,68865.57427,0,#NAME?,#NAME?
213,214,Corn,8,132446.9062,132446.9062,0.604015619,-0.504155223,-0.218951831
214,215,Grass/Pasture,54,19784.511,19784.511,27.29407869,3.306669781,1.436068439
215,216,Soybeans,10,1577405.756,1577405.756,0.06339523,-2.758366664,-1.197943421
216,217,Corn,2,121369.8316,121369.8316,0.164785596,-1.80311007,-0.783080754
217,218,Grass/Pasture,30,9892.204208,9892.204208,30.32691134,3.412035481,1.481828182
218,219,Grass/Pasture,62,12590.09881,12590.09881,49.24504639,3.896808782,1.692362551
219,220,Corn,0,151814.012,151814.012,0,#NAME?,#NAME?
220,221,Soybeans,8,282319.7031,282319.7031,0.283366691,-1.261013493,-0.547651202
221,222,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,9892.6158,9892.6158,0,#NAME?,#NAME?
222,223,Grass/Pasture,158,12765.19019,12765.19019,123.7741057,4.818458176,2.092629797
223,224,Corn,10,746014.5702,746014.5702,0.134045639,-2.009574945,-0.87274731
224,225,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,11012.80572,11012.80572,0,#NAME?,#NAME?
225,226,Grass/Pasture,160,55756.26049,55756.26049,28.69632909,3.356769208,1.457826344
226,227,Soybeans,0,18886.13729,18886.13729,0,#NAME?,#NAME?
227,228,Grass/Pasture,326,35973.5855,35973.5855,90.62204822,4.506697541,1.957233874
228,229,Blank_/Developed/Med Intensity/Developed/High Intensity,0,9037.963655,9037.963655,0,#NAME?,#NAME?
229,230,Soybeans,6,449561.0619,449561.0619,0.133463516,-2.013927127,-0.874637438
230,231,Soybeans,4,1414377.162,1414377.162,0.028281,-3.565565091,-1.548505244
231,232,Grass/Pasture,110,26979.47436,26979.47436,40.77173578,3.707989091,1.610359201
232,233,Corn,0,565358.5147,565358.5147,0,#NAME?,#NAME?
233,234,Corn,8,281739.5647,281739.5647,0.28395018,-1.25895648,-0.546757852
234,235,Developed/Open Space/Developed/Low Intensity,2,20356.21016,20356.21016,0.982501155,-0.017653759,-0.00766693
235,236,Developed/Open Space/Developed/Low Intensity,14,29492.31077,29492.31077,4.747000026,1.557512845,0.676419234
236,237,Developed/Open Space/Developed/Low Intensity,2,10205.218,10205.218,1.959781751,0.672833115,0.292207709
237,238,Developed/Open Space/Developed/Low Intensity,6,16043.15876,16043.15876,3.739911878,1.319062049,0.572861369
238,239,Grass/Pasture,172,38652.02153,38652.02153,44.49961301,3.795480493,1.648356234
239,240,Corn,2,69281.39313,69281.39313,0.288677798,-1.242444099,-0.539586616
240,241,Developed/Open Space/Developed/Low Intensity,12,13682.92655,13682.92655,8.770053655,2.171342924,0.94300225
241,242,Developed/Open Space/Developed/Low Intensity,20,13730.94933,13730.94933,14.56563528,2.678665006,1.163329431
242,243,Grass/Pasture,106,19785.61531,19785.61531,53.57427522,3.981069013,1.728956304
243,244,Developed/Open Space/Developed/Low Intensity,2,10791.95054,10791.95054,1.853233104,0.616931738,0.267930049
244,245,Soybeans,4,293456.3459,293456.3459,0.136306475,-1.992849438,-0.865483514
245,246,Soybeans,0,82199.70799,82199.70799,0,#NAME?,#NAME?
246,247,Developed/Open Space/Developed/Low Intensity,0,9892.284724,9892.284724,0,#NAME?,#NAME?
247,248,Corn,16,619562.727,619562.727,0.258246652,-1.353840135,-0.5879653
248,249,Corn,8,204889.3079,204889.3079,0.390454733,-0.940443237,-0.408429308
249,250,Corn,32,3825918.76,3825918.76,0.08364004,-2.48123292,-1.077585766
250,251,Developed/Open Space/Developed/Low Intensity,2,10065.31459,10065.31459,1.987021848,0.686636959,0.298202642
251,252,Developed/Open Space/Developed/Low Intensity,6,9531.137053,9531.137053,6.295156566,1.839780539,0.799006536
252,253,Blank_/Developed/Med Intensity/Developed/High Intensity,0,26980.149,26980.149,0,#NAME?,#NAME?
253,254,Grass/Pasture,32,10791.98402,10791.98402,29.65163768,3.389517358,1.472048685
254,255,Blank_/Developed/Med Intensity/Developed/High Intensity,0,89033.56281,89033.56281,0,#NAME?,#NAME?
255,256,Corn,20,2056195.683,2056195.683,0.097267007,-2.330295432,-1.012034447
256,257,Corn,8,302981.1178,302981.1178,0.264042857,-1.331643851,-0.578325577
257,258,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,4,120323.4353,120323.4353,0.332437317,-1.101303957,-0.478290231
258,259,Corn,2,83668.59538,83668.59538,0.239038314,-1.431131429,-0.621532482
259,260,Corn,0,63515.27436,63515.27436,0,#NAME?,#NAME?
260,261,Developed/Open Space/Developed/Low Intensity,4,15253.72583,15253.72583,2.622310145,0.964055664,0.418684055
261,262,Corn,0,20715.22406,20715.22406,0,#NAME?,#NAME?
262,263,Corn,0,196448.7327,196448.7327,0,#NAME?,#NAME?
263,264,Grass/Pasture,90,46323.37357,46323.37357,19.42863679,2.966748101,1.288442329
264,265,Corn,28,1075557.313,1075557.313,0.260330153,-1.345804634,-0.584475526
265,266,Grass/Pasture,328,69918.93444,69918.93444,46.91147007,3.84826221,1.671279043
266,267,Developed/Open Space/Developed/Low Intensity,2,12507.95248,12507.95248,1.59898273,0.469367633,0.203843773
267,268,Grass/Pasture,388,137596.2824,137596.2824,28.19843627,3.339266525,1.450225025
