FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA
54,55,Developed/Open Space/Developed/Low Intensity,24,1.13E-06,10391.47759,23.09584926
55,56,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,8,1.86E-06,17086.97667,4.681928321
56,57,Soybeans,38,3.64E-05,334092.387,1.137409934
57,58,Soybeans,26,0.000212847,512684.925,0.507134084
58,59,Soybeans,2,7.58E-05,79721.02307,0.250874854
59,60,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,20,1.08E-06,9892.447111,20.21744446
60,61,Grass/Pasture,584,2.85E-06,26212.94074,222.7907223
61,62,Soybeans,2,4.11E-06,37771.18211,0.529504211
62,63,Soybeans,20,1.90E-05,174466.676,1.146350722
63,64,Grass/Pasture,1234,1.23E-05,100360.3685,122.9569021
64,65,Soybeans,78,5.27E-05,483923.3113,1.611825638
65,66,Grass/Pasture,7778,6.11E-05,561166.1643,138.6042227
66,67,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,28,3.13E-06,28778.04012,9.729641033
67,68,Corn,120,0.000333608,3064714.92,0.391553548
68,69,Grass/Pasture,604,2.67E-06,24545.16026,246.0770244
69,70,Corn,24,8.87E-05,147253.7849,1.629839261
70,71,Grass/Pasture,818,2.34E-06,21474.22652,380.9217525
71,72,Corn,10,1.18E-05,108816.8956,0.918974939
72,73,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,6,1.96E-06,17986.27075,3.335877728
73,74,Developed/Open Space/Developed/Low Intensity,16,4.54E-06,6653.997355,24.04569636
74,75,Corn,8,0.000116097,343120.023,0.233154566
75,76,Grass/Pasture,2070,7.34E-06,67448.94072,306.8988153
76,77,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,1.17E-06,10791.76503,0
77,78,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,14,2.06E-06,18885.56698,7.413068411
78,79,Corn,6,2.35E-06,21583.60426,2.779887885
79,80,Soybeans,50,4.21E-05,381501.9253,1.310609375
80,81,Corn,22,1.92E-05,153824.319,1.430202984
81,82,Corn,30,2.49E-05,191856.5073,1.56366862
82,83,Grass/Pasture,618,6.13E-06,28416.84498,217.4766412
83,84,Grass/Pasture,3298,3.21E-05,217632.1974,151.5400772
84,85,Corn,6,4.32E-05,167822.8967,0.35751975
85,86,Grass/Pasture,1230,2.15E-05,113737.6266,108.1436317
86,87,Soybeans,0,3.07E-05,5929.596328,0
87,88,Soybeans,4,8.08E-05,80265.79617,0.498344275
88,89,Soybeans,8,0.00016447,189539.6148,0.422075354
89,90,Developed/Open Space/Developed/Low Intensity,2,1.87E-06,451.5807938,44.2888632
90,91,Developed/Open Space/Developed/Low Intensity,188,4.29E-06,39440.78949,47.66638864
91,92,Developed/Open Space/Developed/Low Intensity,20,1.23E-06,11301.23056,17.69718784
92,93,Developed/Open Space/Developed/Low Intensity,16,1.20E-06,11050.74274,14.47866481
93,94,Corn,12,0.000115661,97329.54875,1.232924652
94,95,Developed/Open Space/Developed/Low Intensity,134,7.65E-06,61839.5037,21.66899667
95,96,Developed/Open Space/Developed/Low Intensity,20,2.53E-06,23253.24712,8.60094932
96,97,Developed/Open Space/Developed/Low Intensity,52,1.65E-06,15136.11554,34.35491746
97,98,Developed/Open Space/Developed/Low Intensity,244,8.71E-06,80024.34415,30.49072162
98,99,Developed/Open Space/Developed/Low Intensity,26,2.59E-06,13557.17813,19.17803229
99,100,Developed/Open Space/Developed/Low Intensity,180,7.43E-06,68284.22157,26.36040887
100,101,Developed/Open Space/Developed/Low Intensity,4,1.42E-06,3546.066568,11.28010409
101,102,Developed/Open Space/Developed/Low Intensity,22,1.12E-06,10328.72784,21.29981576
102,103,Developed/Open Space/Developed/Low Intensity,32,1.60E-06,14721.12754,21.73746536
103,104,Developed/Open Space/Developed/Low Intensity,34,2.17E-06,19891.01974,17.09314075
104,105,Developed/Open Space/Developed/Low Intensity,96,3.69E-06,33903.63238,28.31555006
105,106,Developed/Open Space/Developed/Low Intensity,108,4.89E-06,44915.54123,24.04512938
106,107,Developed/Open Space/Developed/Low Intensity,78,1.96E-06,17965.39717,43.41679689
107,108,Developed/Open Space/Developed/Low Intensity,2,1.25E-06,148.9575918,134.2664027
108,109,MWROW0,0,2.72E-07,2500.000013,0
109,110,MWROW0,0,2.72E-07,2500.000013,0
110,111,MWROW0,0,2.72E-07,2500.002537,0
111,112,MWROW0,0,2.61E-07,2393.216793,0
112,113,MWROW0,0,2.72E-07,2499.997087,0
113,114,MWROW0,0,2.72E-07,2499.998415,0
114,115,MWROW0,0,2.70E-07,2475.32225,0
115,116,MWROW0,0,2.72E-07,2500.005498,0
116,117,MWROW0,0,2.72E-07,2499.997984,0
117,118,MWROW0,0,2.67E-07,2454.965665,0
118,119,MWROW0,0,2.68E-07,2460.486851,0
119,120,MWROW0,0,2.72E-07,2494.159658,0
120,121,MWROW0,0,2.70E-07,2480.773187,0
121,122,MWROW0,0,2.72E-07,2500.000066,0
122,123,MWROW0,0,2.72E-07,2500.000014,0
123,124,MWROW0,0,3.65E-07,3352.636794,0
124,125,MWROW0,0,2.72E-07,2500.000761,0
125,126,MWROW0,0,2.72E-07,2499.997533,0
126,127,MWROW0,0,2.72E-07,2499.996612,0
127,128,MWROW0,0,2.72E-07,2500.002771,0
128,129,MWROW0,0,2.72E-07,2499.972118,0
129,130,MWROW0,0,2.72E-07,2494.759563,0
130,131,MWROW0,0,2.72E-07,2499.996246,0
131,132,MWROW0,0,2.72E-07,2499.99587,0
132,133,MWROW0,0,2.72E-07,2500.002613,0
133,134,MWROW0,0,2.72E-07,2500.000015,0
134,135,MWROW0,0,2.70E-07,2476.512263,0
135,136,MWROW0,0,2.70E-07,2478.797504,0
136,137,MWROW0,0,2.72E-07,2500.000108,0
137,138,MWROW0,0,2.69E-07,2474.259566,0
138,139,MWROW0,0,2.72E-07,2499.999976,0
139,140,MWROW0,0,4.84E-07,4443.794105,0
140,141,MWROW0,0,2.72E-07,2500.001204,0
141,142,MWROW0,0,2.72E-07,2499.999719,0
142,143,MWROW0,0,2.72E-07,2500.001307,0
143,144,MWROW0,0,2.72E-07,2499.996106,0
144,145,MWROW0,0,2.72E-07,2499.993803,0
145,146,MWROW0,0,2.72E-07,2499.999196,0
146,147,MWROW0,0,2.71E-07,2492.262947,0
147,148,MWROW0,0,2.72E-07,2499.996336,0
148,149,MWROW0,0,2.72E-07,2500.000528,0
149,150,MWROW0,0,2.69E-07,2466.690549,0
150,151,MWROW0,0,2.72E-07,2499.997951,0
151,152,MWROW0,0,2.72E-07,2500.004795,0
152,153,MWROW0,0,2.72E-07,2499.999927,0
153,154,MWROW0,0,2.69E-07,2474.578946,0
154,155,MWROW0,0,2.72E-07,2495.993654,0
155,156,MWROW0,0,2.72E-07,2500.000402,0
156,157,MWROW0,0,2.72E-07,2500.000514,0
157,158,MWROW0,0,2.72E-07,2499.9964,0
158,159,MWROW0,0,2.72E-07,2500.007887,0
159,160,MWROW0,0,3.94E-07,3620.486789,0
160,161,MWROW0,0,2.70E-07,2476.998003,0
161,162,MWROW0,0,2.72E-07,2500.002015,0
162,163,MWROW0,0,2.72E-07,2499.999849,0
163,164,MWROW0,0,2.72E-07,2499.998136,0
164,165,MWROW0,0,2.72E-07,2499.997228,0
165,166,MWROW0,0,2.72E-07,2499.999562,0
166,167,MWROW0,0,2.69E-07,2468.991939,0
167,168,MWROW0,0,2.69E-07,2474.699574,0
168,169,MWROW0,0,2.72E-07,2499.995203,0
169,170,MWROW0,0,2.72E-07,2500.002613,0
170,171,MWROW0,0,2.72E-07,2500.000095,0
171,172,MWROW0,0,2.72E-07,2499.997764,0
172,173,MWROW0,0,2.72E-07,2499.996884,0
173,174,MWROW0,0,2.72E-07,2499.998072,0
174,175,MWROW0,0,2.72E-07,2499.998971,0
175,176,MWROW0,0,2.72E-07,2499.996429,0
176,177,MWROW0,0,2.72E-07,2499.998825,0
177,178,MWROW0,0,2.72E-07,2499.999788,0
178,179,MWROW0,0,2.72E-07,2500.000696,0
179,180,MWROW0,0,2.72E-07,2500.004932,0
180,181,MWROW0,0,2.72E-07,2499.998746,0
181,182,MWROW0,0,2.72E-07,2499.975896,0
182,183,MWROW0,0,2.71E-07,2488.213675,0
183,184,MWROW0,0,2.72E-07,2499.998867,0
184,185,MWROW0,0,2.72E-07,2499.998558,0
185,186,MWROW0,0,2.72E-07,2499.954864,0
186,187,MWROW0,0,2.72E-07,2500.001561,0
187,188,MWROW0,0,2.72E-07,2500.003044,0
188,189,MWROW0,0,2.72E-07,2500.000172,0
189,190,MWROW0,0,2.72E-07,2499.996767,0
190,191,MWROW0,0,2.72E-07,2499.999325,0
191,192,MWROW0,0,2.72E-07,2500.002424,0
192,193,MWROW0,0,2.72E-07,2500.000005,0
193,194,MWROW0,0,2.72E-07,2500.00086,0
194,195,MWROW0,0,2.72E-07,2499.9982,0
195,196,MWROW0,0,2.72E-07,2500.000622,0
196,197,MWROW0,0,2.72E-07,2500.002368,0
197,198,MWROW0,0,2.72E-07,2500.001333,0
198,199,MWROW0,0,2.72E-07,2500.000637,0
199,200,MWROW0,0,2.72E-07,2499.999526,0
200,201,MWROW0,0,2.67E-07,2454.234989,0
201,202,MWROW0,0,2.69E-07,2468.006102,0
202,203,MWROW0,0,2.62E-07,2409.644427,0
203,204,MWROW0,0,2.71E-07,2489.491191,0
204,205,MWROW0,0,2.72E-07,2500.002896,0
205,206,MWROW0,0,2.72E-07,2499.999901,0
206,207,MWROW0,0,2.72E-07,2499.999821,0
207,208,MWROW0,0,5.11E-07,4695.573325,0
208,209,MWROW1-5,32,2.72E-07,2500.000013,127.9999993
209,210,MWROW1-5,80,2.72E-07,2500.006234,319.999202
210,211,MWROW1-5,112,2.72E-07,2500.002903,447.9994798
211,212,MWROW1-5,68,2.72E-07,2499.995053,272.0005382
212,213,MWROW1-5,78,2.72E-07,2494.570588,312.6790654
213,214,MWROW1-5,92,2.67E-07,2452.36094,375.1486924
214,215,MWROW1-5,84,2.72E-07,2499.997533,336.0003316
215,216,MWROW1-5,88,2.72E-07,2499.997869,352.0003
216,217,MWROW1-5,10,2.72E-07,2500.00172,39.99997248
217,218,MWROW1-5,24,2.72E-07,2500.001392,95.99994655
218,219,MWROW1-5,78,2.72E-07,2500.000048,311.999994
219,220,MWROW1-5,28,2.71E-07,2492.410987,112.341023
220,221,MWROW1-5,118,2.72E-07,2500.000824,471.9998444
221,222,MWROW1-5,40,2.70E-07,2476.184367,161.5388601
222,223,MWROW1-5,26,2.72E-07,2499.998791,104.0000503
223,224,MWROW1-5,50,2.72E-07,2497.789432,200.1770019
224,225,MWROW1-5,36,2.72E-07,2499.997023,144.0001715
225,226,MWROW1-5,8,2.72E-07,2499.998042,32.00002506
226,227,MWROW1-5,26,2.72E-07,2500.000534,103.9999778
227,228,MWROW1-5,46,2.72E-07,2499.991845,184.0006002
228,229,MWROW1-5,126,2.70E-07,2477.411647,508.5953324
229,230,MWROW1-5,40,2.72E-07,2500.001869,159.9998804
230,231,MWROW1-5,90,2.70E-07,2477.84407,363.2189817
231,232,MWROW1-5,60,2.72E-07,2499.996307,240.0003545
232,233,MWROW1-5,64,2.72E-07,2499.998782,256.0001247
233,234,MWROW1-5,114,2.72E-07,2499.985895,456.0025728
234,235,MWROW1-5,92,2.72E-07,2499.981601,368.0027084
235,236,MWROW1-5,80,2.72E-07,2499.998469,320.000196
236,237,MWROW1-5,74,2.72E-07,2499.997577,296.0002869
237,238,MWROW1-5,74,2.72E-07,2499.976156,296.0028232
238,239,MWROW1-5,48,2.72E-07,2499.99839,192.0001236
239,240,MWROW1-5,56,2.72E-07,2500.001428,223.9998721
240,241,MWROW1-5,30,2.72E-07,2499.999675,120.0000156
241,242,MWROW1-5,74,2.67E-07,2454.106534,301.5354019
242,243,MWROW1-5,68,2.68E-07,2460.696437,276.3445299
243,244,MWROW1-5,92,2.72E-07,2500.0029,367.9995731
244,245,MWROW1-5,82,2.72E-07,2500.001352,327.9998226
245,246,MWROW1-5,36,2.72E-07,2499.999395,144.0000348
246,247,MWROW1-5,48,2.72E-07,2499.999905,192.0000073
247,248,MWROW1-5,100,2.72E-07,2500.000011,399.9999982
248,249,MWROW1-5,90,2.72E-07,2498.054996,360.2802986
249,250,MWROW1-5,80,2.55E-07,2344.872921,341.1698744
250,251,MWROW1-5,70,2.72E-07,2500.000909,279.9998982
251,252,MWROW1-5,88,2.72E-07,2500.001993,351.9997194
252,253,MWROW1-5,126,2.72E-07,2500.802969,503.8381734
253,254,MWROW1-5,34,2.72E-07,2500.000304,135.9999835
254,255,MWROW1-5,46,2.72E-07,2499.997978,184.0001488
255,256,MWROW1-5,58,2.72E-07,2499.998682,232.0001223
256,257,MWROW1-5,220,2.72E-07,2499.998014,880.0006991
257,258,MWROW1-5,20,2.72E-07,2123.888847,94.1668865
258,259,MWROW1-5,240,2.65E-07,2435.684913,985.3491259
259,260,MWROW5-20,100,2.72E-07,1745.899211,572.7707497
260,261,MWROW5-20,154,2.72E-07,2499.997984,616.0004967
261,262,MWROW5-20,92,2.72E-07,2499.998761,368.0001824
262,263,MWROW5-20,62,2.72E-07,2500.002555,247.9997465
263,264,MWROW5-20,132,2.72E-07,2500.000896,527.9998108
264,265,MWROW5-20,108,2.72E-07,2500.003376,431.9994166
265,266,MWROW5-20,86,2.72E-07,2500.000896,343.9998767
266,267,MWROW5-20,84,2.72E-07,2500.002037,335.9997262
267,268,MWROW5-20,170,2.72E-07,2500.004022,679.998906
268,269,MWROW5-20,128,2.72E-07,2500.003945,511.9991921
269,270,MWROW5-20,106,2.72E-07,2500.000469,423.9999205
270,271,MWROW5-20,190,2.72E-07,2499.992984,760.0021329
271,272,MWROW5-20,242,2.72E-07,2500.002984,967.9988446
272,273,MWROW5-20,244,2.72E-07,2500.000469,975.9998169
273,274,MWROW5-20,232,2.72E-07,2500.003533,927.9986886
274,275,MWROW5-20,202,2.72E-07,2494.172588,809.88782
275,276,MWROW5-20,232,2.72E-07,2500.003379,927.9987457
276,277,MWROW5-20,268,2.72E-07,2501.862467,1071.201969
277,278,MWROW5-20,272,4.92E-07,4523.397154,601.3179713
278,279,MWROW5-20,106,2.72E-07,2500.0007,423.9998813
279,280,MWROW5-20,24,2.72E-07,1284.934752,186.7799121
280,281,MWROW5-20,176,2.72E-07,2500.00156,703.9995607
281,282,MWROW5-20,176,2.72E-07,2499.999097,704.0002543
282,283,MWROW5-20,154,2.72E-07,2499.996951,616.0007513
283,284,MWROW5-20,138,2.67E-07,2454.90547,562.1397715
284,285,MWROW5-20,72,2.72E-07,2494.02158,288.6903649
285,286,MWROW5-20,126,2.72E-07,2499.996724,504.0006604
286,287,MWROW5-20,118,2.72E-07,2496.462099,472.6689023
287,288,MWROW5-20,88,2.72E-07,2500.007807,351.9989008
288,289,MWROW5-20,200,2.72E-07,2500.000539,799.9998275
289,290,MWROW5-20,86,2.72E-07,2499.999441,344.0000769
290,291,MWROW5-20,94,2.72E-07,2499.99797,376.0003053
291,292,MWROW5-20,88,2.72E-07,2499.997869,352.0003
292,293,MWROW5-20,102,2.72E-07,2499.998164,408.0002996
293,294,MWROW5-20,124,3.60E-07,3304.117775,375.2892858
294,295,MWROW5-20,104,2.72E-07,2500.001139,415.9998105
295,296,MWROW5-20,26,2.69E-07,2401.615374,108.2604662
296,297,MWROW5-20,82,2.72E-07,2500.001396,327.9998168
297,298,MWROW5-20,144,2.72E-07,2499.997956,576.0004709
298,299,MWROW5-20,252,2.72E-07,2499.998665,1008.000538
299,300,MWROW5-20,172,2.72E-07,2500.003664,687.9989917
300,301,MWROW5-20,66,2.72E-07,2500.001105,263.9998833
301,302,MWROW5-20,252,2.72E-07,2499.99938,1008.00025
302,303,MWROW5-20,140,2.72E-07,2499.998478,560.0003409
303,304,MWROW5-20,102,2.72E-07,2499.998326,408.0002732
304,305,MWROW5-20,82,2.72E-07,2500.004799,327.9993704
305,306,MWROW5-20,112,2.72E-07,2499.992554,448.0013343
306,307,MWROW5-20,68,2.70E-07,2478.780478,274.3284474
307,308,MWROW5-20,78,2.72E-07,2500.001764,311.9997799
308,309,MWROW5-20,94,2.72E-07,2499.995871,376.000621
309,310,MWROW5-20,68,2.72E-07,2500.003392,271.999631
310,311,MWROW5-20,164,2.72E-07,2500.006527,655.9982873
311,312,MWROW5-20,134,2.72E-07,2500.007043,535.99849
312,313,MWROW5-20,188,2.72E-07,2500.002826,751.9991499
313,314,MWROW5-20,88,2.72E-07,2500.006686,351.9990586
314,315,MWROW5-20,64,2.72E-07,2494.022623,256.6135504
315,316,MWROW5-20,116,2.72E-07,2500.277371,463.9485257
316,317,MWROW5-20,162,2.72E-07,2499.998574,648.0003696
317,318,MWROW5-20,144,2.72E-07,2500.001592,575.9996332
318,319,MWROW5-20,134,2.72E-07,2499.968881,536.006672
319,320,MWROW5-20,76,2.72E-07,2500.000498,303.9999394
320,321,MWROW5-20,134,2.72E-07,2499.996693,536.000709
321,322,MWROW5-20,188,2.70E-07,2483.738815,756.9233885
322,323,MWROW5-20,206,2.72E-07,2499.997487,824.0008283
323,324,MWROW5-20,140,2.72E-07,2500.002267,559.9994922
324,325,MWROW5-20,138,2.71E-07,2491.77025,553.8231304
325,326,MWROW5-20,156,2.72E-07,2499.998124,624.0004682
326,327,MWROW5-20,142,2.71E-07,2487.507205,570.8526179
327,328,MWROW5-20,384,2.70E-07,2475.479185,1551.214821
328,329,MWROW5-20,166,2.72E-07,2499.999939,664.0000162
329,330,MWROW5-20,184,2.72E-07,2500.000095,735.999972
330,331,MWROW5-20,126,2.72E-07,2500.005124,503.998967
331,332,MWROW5-20,194,2.72E-07,2500.000095,775.9999705
332,333,MWROW5-20,138,2.72E-07,2500.00113,551.9997505
333,334,MWROW5-20,46,2.72E-07,2499.99967,184.0000243
334,335,MWROW5-20,88,2.72E-07,2500.002613,351.9996321
335,336,MWROW5-20,132,2.72E-07,2500.000095,527.9999799
336,337,MWROW5-20,136,2.72E-07,2500.000095,543.9999793
337,338,MWROW5-20,66,2.71E-07,2491.815574,264.8671141
338,339,MWROW5-20,130,2.71E-07,2485.301783,523.0753098
339,340,MWROW5-20,136,2.72E-07,2500.000837,543.9998179
340,341,MWROW5-20,140,2.72E-07,2499.998594,560.0003149
341,342,MWROW5-20,126,2.69E-07,2474.008091,509.2950199
342,343,MWROW5-20,132,2.72E-07,2500.000448,527.9999054
343,344,MWROW5-20,94,2.72E-07,2500.001301,375.9998043
344,345,MWROW5-20,104,2.72E-07,2500.004807,415.9992001
345,346,MWROW5-20,148,2.72E-07,2500.006621,591.9984322
346,347,MWROW5-20,146,2.69E-07,2469.837453,591.1320189
347,348,MWROW5-20,196,2.72E-07,2499.970408,784.0092802
348,349,MWROW5-20,228,2.72E-07,2500.00178,911.9993507
349,350,MWROW5-20,156,2.71E-07,2491.145775,626.2178696
350,351,MWROW5-20,188,2.72E-07,2500.001171,751.9996478
351,352,MWROW5-20,126,2.68E-07,2459.694722,512.2586916
352,353,MWROW5-20,412,4.81E-07,4421.396652,931.8322522
353,354,MWROW5-20,180,2.72E-07,2500.00185,719.9994672
354,355,MWROW5-20,156,2.72E-07,2499.996747,624.0008119
355,356,MWROW5-20,248,2.72E-07,2500.007456,991.9970415
356,357,MWROW5-20,118,2.68E-07,2465.059391,478.6902921
357,358,MWROW5-20,144,2.71E-07,2485.466851,579.3680167
358,359,MWROW5-20,180,2.72E-07,2500.0012,719.9996544
359,360,MWROW5-20,104,2.68E-07,2460.186732,422.7321392
360,361,MWROW5-20,162,2.72E-07,2499.999071,648.0002408
361,362,MWROW5-20,132,2.72E-07,2499.999434,528.0001195
362,363,MWROW5-20,142,2.72E-07,2500.003032,567.9993111
363,364,MWROW5-20,274,2.66E-07,2439.192743,1123.322463
364,365,MWROW5-20,92,2.72E-07,2499.987096,368.0018995
365,366,MWROW5-20,96,2.72E-07,2500.002955,383.9995461
366,367,MWROW5-20,82,2.72E-07,2500.000469,327.9999385
367,368,MWROW5-20,92,2.70E-07,2483.733833,370.4100608
368,369,MWROW5-20,104,2.72E-07,2499.999785,416.0000358
369,370,MWROW5-20,178,2.72E-07,2499.996333,712.0010444
370,371,MWROW5-20,154,2.72E-07,2500.001256,615.9996905
371,372,MWROW5-20,124,2.72E-07,2500.002934,495.9994179
372,373,MWROW5-20,130,2.72E-07,2500.000635,519.9998679
373,374,MWROW5-20,142,2.72E-07,2500.000598,567.9998641
374,375,MWROW5-20,116,2.72E-07,2500.000847,463.9998428
375,376,MWROW5-20,98,2.72E-07,2500.006062,391.9990495
376,377,MWROW5-20,88,2.72E-07,2500.00101,351.9998578
377,378,MWROW5-20,86,2.69E-07,2473.278257,347.7166379
378,379,MWROW5-20,60,2.72E-07,2500.005036,239.9995165
379,380,MWROW5-20,96,2.72E-07,2499.997978,384.0003106
380,381,MWROW5-20,102,2.72E-07,2500.000441,407.999928
381,382,MWROW5-20,88,2.72E-07,2499.997995,352.0002823
382,383,MWROW5-20,200,4.92E-07,4518.260047,442.6482715
383,384,MWROW5-20,94,2.67E-07,2457.66654,382.4766235
384,385,MWROW5-20,70,2.72E-07,2499.991828,280.0009153
385,386,MWROW5-20,84,2.72E-07,2499.999187,336.0001093
386,387,MWROW5-20,114,2.72E-07,2500.003131,455.9994289
387,388,MWROW5-20,112,2.72E-07,2499.999839,448.0000289
388,389,MWROW5-20,266,2.72E-07,2499.997405,1064.001104
389,390,MWROW5-20,430,2.70E-07,2477.061037,1735.928157
390,391,MWROW5-20,128,2.72E-07,2500.003249,511.9993346
391,392,MWROW5-20,144,2.68E-07,2457.17226,586.0394989
392,393,MWROW5-20,168,2.72E-07,2500.00629,671.9983093
393,394,MWROW5-20,268,3.78E-07,3474.837167,771.2591616
394,395,MWROW20-60,124,2.71E-07,2485.603399,498.8728292
395,396,MWROW20-60,262,2.69E-07,2471.374003,1060.139014
396,397,MWROW20-60,162,2.72E-07,2500.000147,647.9999619
397,398,MWROW20-60,120,2.69E-07,2472.80093,485.2796622
398,399,MWROW20-60,170,2.69E-07,2473.36927,687.3215498
399,400,MWROW20-60,162,2.72E-07,2500.004364,647.9988689
400,401,MWROW20-60,58,2.72E-07,2499.997807,232.0002035
401,402,MWROW20-60,202,2.72E-07,2500.002158,807.9993025
402,403,MWROW20-60,276,2.72E-07,2499.997955,1104.000903
403,404,MWROW20-60,274,2.72E-07,2500.000001,1096
404,405,MWROW20-60,280,2.70E-07,2481.832026,1128.198835
405,406,MWROW20-60,282,2.72E-07,2500.000881,1127.999602
406,407,MWROW20-60,368,2.70E-07,2482.809909,1482.191603
407,408,MWROW20-60,206,2.72E-07,2500.000148,823.9999512
408,409,MWROW20-60,162,2.72E-07,2500.003215,647.9991667
409,410,MWROW20-60,352,2.72E-07,2499.998379,1408.000913
410,411,MWROW20-60,214,2.72E-07,2499.999815,856.0000633
411,412,MWROW20-60,172,2.72E-07,2500.003361,687.9990751
412,413,MWROW20-60,196,2.72E-07,2500.002768,783.999132
