FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity,ProbEggs
83,84,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,144,44964.55495,44964.55495,32.02522524,3.466523881,1.505492193,0.1
84,85,Corn,460,134003.0258,134003.0258,34.32758307,3.535949202,1.535643227,0.1
85,86,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,102,35973.88635,35973.88635,28.35390066,3.34476461,1.452612813,0.1
86,87,Soybeans,912,338423.1737,338423.1737,26.94850917,3.293927977,1.430534744,0.1
87,88,Grass/Pasture,46,16187.20103,16187.20103,28.41751327,3.347005619,1.453586071,0.1
88,89,Grass/Pasture,312,49463.24191,49463.24191,63.07714334,4.144358475,1.799872017,0.1
89,90,Grass/Pasture,114,14389.27595,14389.27595,79.22566806,4.372300338,1.89886591,0.1
90,91,Grass/Pasture,208,44431.2213,44431.2213,46.81392812,3.846180768,1.670375084,0.1
91,92,Corn,2196,1167098.771,1167098.771,18.81588821,2.93470163,1.274524724,0.1
92,93,Soybeans,94,33273.68281,33273.68281,28.25055481,3.341113097,1.451026981,0.1
93,94,Grass/Pasture,32,10791.79149,10791.79149,29.65216668,3.389535198,1.472056433,0.1
94,95,Developed/Open Space/Developed/Low Intensity,76,20565.28681,20565.28681,36.95547779,3.609713885,1.567678822,0.1
95,96,Grass/Pasture,2642,920429.1604,920429.1604,28.7040015,3.357036538,1.457942444,0.1
96,97,Soybeans,358,155304.1202,155304.1202,23.05154554,3.137732819,1.362700049,0.1
97,98,Developed/Open Space/Developed/Low Intensity,90,11454.95658,11454.95658,78.56860859,4.363972238,1.895249062,0.1
98,99,Developed/Open Space/Developed/Low Intensity,46,10816.08883,10816.08883,42.52923651,3.750191757,1.628687586,0.1
99,100,Developed/Open Space/Developed/Low Intensity,110,15150.97347,15150.97347,72.60259561,4.285000673,1.860952147,0.1
100,101,Grass/Pasture,106,17076.89689,17076.89689,62.07216726,4.128297696,1.792896909,0.1
101,102,Grass/Pasture,68,8524.73522,8524.73522,79.76787342,4.379120835,1.901828014,0.1
102,103,Soybeans,94,37889.17802,37889.17802,24.80919484,3.211214344,1.39461267,0.1
103,104,Grass/Pasture,48,11690.75284,11690.75284,41.05809152,3.71498793,1.613398758,0.1
104,105,Wetlands/Herbaceous Wetlands,88,13490.23825,13490.23825,65.23235422,4.177955576,1.814463052,0.1
105,106,Soybeans,516,250745.1086,250745.1086,20.57866663,3.024254939,1.313417232,0.1
106,107,Developed/Open Space/Developed/Low Intensity,60,16817.85519,16817.85519,35.67636855,3.574488524,1.552380642,0.1
107,108,Developed/Open Space/Developed/Low Intensity,166,9106.027472,9106.027472,182.2968364,5.205636328,2.260779132,0.1
108,109,Developed/Open Space/Developed/Low Intensity,110,18578.27571,18578.27571,59.20893936,4.081072533,1.772387281,0.1
109,110,Corn,3356,1417130.541,1417130.541,23.68165743,3.1647008,1.374412094,0.1
110,111,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,116,24282.40269,24282.40269,47.77121996,3.866423365,1.679166332,0.1
111,112,Developed/Open Space/Developed/Low Intensity,106,23065.29604,23065.29604,45.95648797,3.827695035,1.662346832,0.1
112,113,Grass/Pasture,192,31984.22269,31984.22269,60.02959705,4.094837725,1.778365428,0.1
113,114,Soybeans,574,211656.8746,211656.8746,27.11936483,3.300248042,1.433279514,0.1
114,115,Soybeans,856,441069.6725,441069.6725,19.40736472,2.965652619,1.287966568,0.1
115,116,Soybeans,390,128598.5581,128598.5581,30.32693412,3.412036233,1.481828508,0.1
116,117,Soybeans,392,131944.3817,131944.3817,29.70948781,3.39146645,1.472895165,0.1
117,118,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,60,17986.4101,17986.4101,33.35851883,3.507313177,1.523206759,0.1
118,119,Grass/Pasture,28,8993.199119,8993.199119,31.13463811,3.438320965,1.493243822,0.1
119,120,Soybeans,624,180166.7087,180166.7087,34.63458951,3.54485288,1.539510045,0.1
120,121,Soybeans,910,454544.3879,454544.3879,20.02004698,2.996734121,1.301465092,0.1
121,122,Soybeans,1126,576564.1108,576564.1108,19.52948473,2.971925361,1.290690785,0.1
122,123,Corn,410,211911.9286,211911.9286,19.34766026,2.962571495,1.286628453,0.1
123,124,Soybeans,492,130197.8777,130197.8777,37.7886344,3.63200838,1.577361198,0.1
124,125,Corn,44,11517.5277,11517.5277,38.20264309,3.642904704,1.582093411,0.1
125,126,Corn,2696,1197965.535,1197965.535,22.50482106,3.113729556,1.352275564,0.1
126,127,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,26,11690.75784,11690.75784,22.23979006,3.10188303,1.347130683,0.1
127,128,Grass/Pasture,54,17086.50818,17086.50818,31.60388268,3.453279983,1.499740441,0.1
128,129,Corn,2952,1703221.49,1703221.49,17.33186211,2.852546548,1.238845225,0.1
129,130,Grass/Pasture,894,248310.6201,248310.6201,36.00329296,3.583610405,1.556342224,0.1
130,131,Grass/Pasture,642,137121.2475,137121.2475,46.81987742,3.846307844,1.670430272,0.1
131,132,Soybeans,1622,539611.9149,539611.9149,30.05863946,3.403150123,1.477969319,0.1
132,133,Grass/Pasture,50,16930.04054,16930.04054,29.53330199,3.385518508,1.470312006,0.1
133,134,Grass/Pasture,74,15822.33619,15822.33619,46.76932604,3.845227562,1.669961112,0.1
134,135,Grass/Pasture,64,10048.03706,10048.03706,63.69403259,4.154090878,1.804098746,0.1
135,136,Soybeans,456,291690.0215,291690.0215,15.63303392,2.749386234,1.19404327,0.1
136,137,Grass/Pasture,216,63849.52613,63849.52613,33.82953846,3.52133434,1.529296073,0.1
137,138,Soybeans,2164,870148.4638,870148.4638,24.86931932,3.213634888,1.395663899,0.1
138,139,Grass/Pasture,248,67746.55446,67746.55446,36.60702776,3.600240237,1.563564469,0.1
139,140,Corn,1048,570493.6612,570493.6612,18.37005512,2.9107219,1.264110459,0.1
140,141,Corn,758,279588.6881,279588.6881,27.11125422,3.299948927,1.433149609,0.1
141,142,Corn,1008,368996.5946,368996.5946,27.31732527,3.307521126,1.436438174,0.1
142,143,Soybeans,1942,894167.1065,894167.1065,21.71853545,3.078166064,1.336830536,0.1
143,144,Soybeans,266,104867.0321,104867.032,25.36545518,3.233388216,1.40424266,0.1
144,145,Corn,64,11826.33534,11826.33534,54.11651045,3.991139323,1.733329785,0.1
145,146,Grass/Pasture,134,50382.58676,50382.58676,26.5964907,3.280779278,1.424824337,0.1
146,147,Corn,1336,454953.8337,454953.8337,29.36561693,3.379824498,1.467839129,0.1
147,148,Grass/Pasture,140,33275.2632,33275.2632,42.07329606,3.739413242,1.624006536,0.1
148,149,Corn,58,10039.4779,10039.4779,57.77192856,4.056502993,1.761716866,0.1
149,150,Blank_/Developed/Med Intensity/Developed/High Intensity,128,20535.76552,20535.76552,62.33027928,4.132447331,1.794699073,0.1
150,151,Developed/Open Space/Developed/Low Intensity,56,14494.75605,14494.75605,38.63466195,3.654149851,1.586977117,0.1
151,152,Grass/Pasture,80,20285.03101,20285.03101,39.43794809,3.674728502,1.595914311,0.1
152,153,Soybeans,44,17985.78313,17985.78313,24.46376657,3.197193107,1.388523324,0.1
153,154,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,98,27479.27903,27479.27903,35.66323552,3.574120341,1.552220742,0.1
154,155,Grass/Pasture,40,9282.470276,9282.470276,43.09197747,3.763336842,1.634396424,0.1
155,156,Corn,454,160781.1522,160781.1522,28.2371406,3.340638154,1.450820716,0.1
156,157,Developed/Open Space/Developed/Low Intensity,120,17002.50925,17002.50925,70.5778178,4.2567159,1.848668226,0.1
157,158,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,638,248732.2484,248732.2484,25.65007168,3.244546366,1.409088583,0.1
158,159,Soybeans,3252,1176963.571,1176963.571,27.63042188,3.318917408,1.441387516,0.1
159,160,Corn,240,35038.56273,35038.56273,68.49596025,4.226774769,1.835664958,0.1
160,161,Corn,82,34240.34777,34240.34777,23.94835489,3.175899632,1.379275685,0.1
161,162,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,56,14684.58793,14684.58793,38.13522059,3.64113828,1.581326263,0.1
162,163,Soybeans,420,134581.8098,134581.8098,31.20778362,3.440667539,1.494262926,0.1
163,164,Grass/Pasture,102,17156.1861,17156.1861,59.45377335,4.085199092,1.774179423,0.1
164,165,Grass/Pasture,58,10128.78736,10128.78736,57.26253098,4.0476465,1.75787054,0.1
165,166,Grass/Pasture,78,21700.5448,21700.5448,35.94379806,3.581956553,1.555623966,0.1
166,167,Corn,136,19829.57627,19829.57627,68.58442064,4.228065405,1.836225474,0.1
167,168,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,134,31063.65001,31063.65001,43.13723595,3.764386567,1.634852314,0.1
168,169,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,40,12590.84038,12590.84038,31.76912644,3.458494951,1.502005273,0.1
169,170,Corn,2380,1281707.314,1281707.314,18.56898197,2.921492552,1.268788094,0.1
170,171,Grass/Pasture,66,14994.6661,14994.6661,44.01565167,3.78454529,1.643607136,0.1
171,172,Corn,1550,573384.1923,573384.1923,27.03248574,3.297039318,1.431885983,0.1
172,173,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,42,10791.78442,10791.78442,38.91849426,3.661469568,1.590156029,0.1
173,174,Soybeans,808,273658.1012,273658.1012,29.52589368,3.38526763,1.470203052,0.1
174,175,Soybeans,1618,576017.7389,576017.7389,28.08941272,3.335392734,1.448542659,0.1
175,176,Developed/Open Space/Developed/Low Intensity,38,9204.093728,9204.093728,41.28597679,3.720522897,1.615802564,0.1
176,177,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,72,25048.6412,25048.6412,28.74407415,3.358431629,1.458548325,0.1
177,178,Soybeans,804,462249.9336,462249.9336,17.393188,2.856078636,1.240379191,0.1
178,179,Grass/Pasture,26,8993.383092,8993.383092,28.91014397,3.364192536,1.461050254,0.1
179,180,Corn,2612,1062409.896,1062409.896,24.58561436,3.20216149,1.390681065,0.1
180,181,Developed/Open Space/Developed/Low Intensity,124,26442.39902,26442.39902,46.89438349,3.847897913,1.671120831,0.1
181,182,Developed/Open Space/Developed/Low Intensity,36,11885.34027,11885.34027,30.28941468,3.410798301,1.481290881,0.1
182,183,Wetlands/Herbaceous Wetlands,58,19785.61334,19785.61334,29.31422898,3.378073029,1.467078476,0.1
183,184,Soybeans,4136,1612283.236,1612283.236,25.65306087,3.244662897,1.409139192,0.1
184,185,Developed/Open Space/Developed/Low Intensity,114,20106.2128,20106.2128,56.69889259,4.03775468,1.753574577,0.1
185,186,Soybeans,530,146327.0966,146327.0966,36.22022252,3.589617596,1.558951114,0.1
186,187,Soybeans,656,212528.476,212528.476,30.86645199,3.429669898,1.489486711,0.1
187,188,Grass/Pasture,46,12590.08827,12590.08827,36.53667791,3.59831663,1.562729057,0.1
188,189,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,74,11375.51027,11375.51027,65.05202689,4.175187363,1.813260833,0.1
189,190,Grass/Pasture,258,37707.09858,37707.09858,68.42212997,4.22569631,1.83519659,0.1
190,191,Soybeans,498,142180.9224,142180.9224,35.02579612,3.556084822,1.544388015,0.1
191,192,Soybeans,144,26935.79189,26935.79189,53.4604665,3.978942437,1.728032744,0.1
192,193,Corn,1090,545934.0499,545934.0499,19.96578158,2.994019887,1.300286316,0.1
193,194,Corn,1638,492877.6318,492877.6318,33.23340104,3.503555426,1.521574788,0.1
194,195,Corn,5814,2262132.466,2262132.466,25.70141266,3.246545958,1.409956995,0.1
195,196,Grass/Pasture,34,18885.98703,18885.98703,18.00276573,2.890525398,1.25533923,0.1
196,197,Soybeans,30,8993.287575,8993.287575,33.35821272,3.507304001,1.523202774,0.1
197,198,Soybeans,260,148605.4456,148605.4456,17.4959941,2.861971946,1.242938624,0.1
198,199,Corn,2020,744105.7841,744105.7841,27.14667784,3.301254676,1.433716689,0.1
199,200,Grass/Pasture,162,27878.05827,27878.05827,58.11021644,4.062341491,1.764252493,0.1
200,201,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,144,38671.87809,38671.87809,37.23636066,3.617285721,1.570967228,0.1
201,202,Soybeans,1376,822946.2429,822946.2429,16.72041171,2.816630231,1.223246967,0.1
202,203,Developed/Open Space/Developed/Low Intensity,44,9398.129949,9398.129949,46.81782465,3.846263999,1.670411231,0.1
203,204,Developed/Open Space/Developed/Low Intensity,52,8549.750353,8549.750353,60.82048932,4.107926728,1.78404991,0.1
204,205,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,60,10791.9456,10791.9456,55.59701858,4.018129577,1.745051503,0.1
205,206,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,28,11691.28715,11691.28715,23.94945881,3.175945727,1.379295704,0.1
206,207,Grass/Pasture,764,207030.5739,207030.5739,36.90276202,3.6082864,1.567058873,0.1
207,208,Soybeans,728,285325.4586,285325.4586,25.51472286,3.239255652,1.406790855,0.1
208,209,Developed/Open Space/Developed/Low Intensity,86,25610.85679,25610.85679,33.57950915,3.513916034,1.526074344,0.1
209,210,Soybeans,1702,663959.2483,663959.2483,25.63410336,3.243923628,1.408818131,0.1
210,211,Corn,260,73289.33299,73289.33299,35.47583112,3.568851651,1.549932579,0.1
211,212,Grass/Pasture,2288,897097.4564,897097.4564,25.50447539,3.238853942,1.406616395,0.1
212,213,Corn,228,68865.57427,68865.57427,33.10797919,3.499774317,1.519932674,0.1
213,214,Corn,472,132446.9062,132446.9062,35.63692151,3.573382221,1.55190018,0.1
214,215,Grass/Pasture,78,19784.511,19784.511,39.42478032,3.674394561,1.595769282,0.1
215,216,Soybeans,4442,1577405.756,1577405.756,28.16016097,3.337908247,1.449635133,0.1
216,217,Corn,418,121369.8316,121369.8316,34.4401895,3.539224182,1.537065532,0.1
217,218,Grass/Pasture,50,9892.204208,9892.204208,50.54485224,3.922861105,1.703676931,0.1
218,219,Grass/Pasture,102,12590.09881,12590.09881,81.01604407,4.39464721,1.908571033,0.1
219,220,Corn,574,151814.012,151814.012,37.8094217,3.632558323,1.577600035,0.1
220,221,Soybeans,492,282319.7031,282319.7031,17.42705148,2.858023682,1.241223914,0.1
221,222,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,48,9892.6158,9892.6158,48.5210393,3.881997504,1.685930095,0.1
222,223,Grass/Pasture,84,12765.19019,12765.19019,65.80395494,4.186679942,1.818251996,0.1
223,224,Corn,2148,746014.5702,746014.5702,28.79300332,3.360132418,1.459286967,0.1
224,225,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,76,11012.80572,11012.80572,69.01057,4.234259681,1.838915615,0.1
225,226,Grass/Pasture,178,55756.26049,55756.26049,31.92466612,3.463378943,1.504126364,0.1
226,227,Soybeans,62,18886.13729,18886.13729,32.82831161,3.491291302,1.516248547,0.1
227,228,Grass/Pasture,112,35973.5855,35973.5855,31.13395522,3.438299031,1.493234296,0.1
228,229,Blank_/Developed/Med Intensity/Developed/High Intensity,54,9037.963655,9037.963655,59.74797207,4.09013525,1.776323169,0.1
229,230,Soybeans,612,449561.0619,449561.0619,13.61327864,2.611045687,1.133962734,0.1
230,231,Soybeans,4086,1414377.162,1414377.162,28.88904113,3.363462323,1.460733127,0.1
231,232,Grass/Pasture,92,26979.47436,26979.47436,34.0999972,3.529297302,1.532754343,0.1
232,233,Corn,1182,565358.5147,565358.5147,20.90708761,3.040088222,1.320293539,0.1
233,234,Corn,822,281739.5647,281739.5647,29.17588095,3.373342373,1.465023978,0.1
234,235,Developed/Open Space/Developed/Low Intensity,122,20356.21016,20356.21016,59.93257047,4.093220105,1.777662905,0.1
235,236,Developed/Open Space/Developed/Low Intensity,138,29492.31077,29492.31077,46.7918574,3.845709201,1.670170285,0.1
236,237,Developed/Open Space/Developed/Low Intensity,44,10205.218,10205.218,43.11519852,3.763875569,1.63463039,0.1
237,238,Developed/Open Space/Developed/Low Intensity,38,16043.15876,16043.15876,23.68610856,3.164888739,1.374493715,0.1
238,239,Grass/Pasture,66,38652.02153,38652.02153,17.0754329,2.837640758,1.232371723,0.1
239,240,Corn,216,69281.39313,69281.39313,31.17720217,3.439687128,1.493837139,0.1
240,241,Developed/Open Space/Developed/Low Intensity,100,13682.92655,13682.92655,73.08378046,4.291606461,1.863821004,0.1
241,242,Developed/Open Space/Developed/Low Intensity,52,13730.94933,13730.94933,37.87065173,3.634176451,1.578302779,0.1
242,243,Grass/Pasture,48,19785.61531,19785.61531,24.26004916,3.18883093,1.384891677,0.1
243,244,Developed/Open Space/Developed/Low Intensity,74,10791.95054,10791.95054,68.56962486,4.22784965,1.836131773,0.1
244,245,Soybeans,738,293456.3459,293456.3459,25.14854459,3.224800026,1.400512856,0.1
